"1.產品代號","2.產品名稱","3.產品名稱延長(次品名)","4.平均成本","5.銷售單價一","6.銷售單價二","7.銷售單價三","8.銷售單價四","9.最低售價","10.建議售價","11.備註","12.固定安全量","13.安全量是否自動計算","14.安全量自動計算天數","15.採購系數","16.自動安全量","17.是否依安全量採購","18.安全量採購倍數","19.列入自動轉採購","20.驗貨列出","21.撿貨單列出","22.EAN13碼","23.Code128","24.外部碼","25.顏色","26.尺寸","27.供應廠商代號","28.預估成本","評估成本單價","29.產地國別","30.保存期限天數","31.即期品","32.到期通知天數","33.數量為零自動下架","34.若有下採購單自動上架","35.持續上架","36.停止上架","37.第一次進貨自動上架","38.促銷品","39.不允許客戶下架","40.上架日期區間起","41.上架日期區間迄","42.通知採購1","43.通知採購2","44.通知採購3","45.通知採購4","46.所有數字按照比例升降","47.每層的銷售單價1","48.每層的銷售單價2","49.每層的銷售單價3","50.每層的銷售單價4","51.本產品只上經銷商網站(B2B)","52.店長推薦","53.簡要說明1","54.簡要說明2","55.簡要說明3","56.網路建議售價","57.建立日期","58.缺貨到貨天數","59.網路最低價","60.相同類別排序為前","61.預定到貨日期","62.網站顯示實際庫存","63.預購日期區間起","64.預購日期區間迄","65.促銷數量","66.促銷品金額","67.促銷敘述","68.B品區數量","69.B品售價","70.B品敘述","71.經銷商特價","72.經銷商特價有效日期區間起","73.經銷商特價有效日期區間訖","74.網路特價","75.網路特價有效日期區間起","76.網路特價有效日期區間訖","77.促銷日期/紅利可調整倍數","78.促銷日期結束然後調回幾倍","79.促銷日期有效日期區間起","80.促銷日期有效日期區間訖","81.POS特價(含稅)","82.POS特價日期起","83.POS特價日期迄","84.進貨預設分倉","85.銷貨預設分倉","86.發票明細名稱","87.溫層代號 0:常溫1:冷藏2:冷凍","88.稅別 1:應稅2:零稅3:免稅","89.單品重量(公斤)","90.單品體積(長)cm","91.單品體積(寬)cm","92.單品體積(高)cm","93.包裝重量(公斤)","94.包裝體積(長)cm","95.包裝體積(寬)cm","96.包裝體積(高)cm","97.成箱重量(公斤)","98.成箱體積(長)cm","99.成箱體積(寬)cm","100.成箱體積(高)cm","101.最低訂購量","102.包裝數量","103.裝箱數量","104.列入批次轉出貨","105.關稅","106.API庫存同步-YAHOO購物中心","107.API庫存同步-YAHOO超級商城","108.API庫存同步-MOMO購物中心","109.API庫存同步-MOMO摩天商城","110.API庫存同步-91APP","111.採購連結","112.新品異動日期(民國年/月/日)","113.允許子件變更","114.商品採購備註","115.類別代碼蝦皮","116.類別代碼露天","117.類別代碼Yahoo拍賣","海關編碼(英數11碼)","內部備註","材質","包裝方式","庫存總數量"
="000016",(A)漫威英雄3(中),="0","1261","1490","1440","0","0","0","1490",,"0","1","15","0","0","0","1","1","1","1",,="000016",,,,="20","0","1261",,"0","0","0","0","0","1","0","0","0","1",,,,,,,"0","0","0","0","0","0","0",,,,"0",,"1","0","10",,"1","","","0","0",,"0","0",,"0",,,"0",,,"0","0",,,"0",,,,,,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0",,112.05.22,"0",,,,,,,,,"0"
="000017",(A)異度神劍終極版1代(中),,"1079.5","1390","1340","0","0","0","1390",,"4","0","90","0","0","0","1","1","1","1",,="000017",,,,="03","0","1079.5",,"0","0","0","0","0","1","0","0","0","0",,,,,,,"0","0","0","0","0","0","0",,,,"0",112.05.11,"0","0","0",,"1","2811/1/1","2811/1/1","0","0",,"0","0",,"0",,,"0",,,"1","0",,,"0",,,,,,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0",,112.05.11,"0",,,,,,,,,"0"
="000018",(A)Letsgo寶可夢伊布(中),,"1180.0010495627","1390","1340","0","0","0","1390",,"4","0","90","0","0","0","1","1","1","1",,="000018",,,,="03","0","1180.0010495627",,"0","0","0","0","0","1","0","0","0","0",,,,,,,"0","0","0","0","0","0","0",,,,"0",112.05.11,"0","0","0",,"1","2811/1/1","2811/1/1","0","0",,"0","0",,"0",,,"0",,,"1","0",,,"0",,,,,,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0",,112.05.11,"0",,,,,,,,,"5"
="000024",(A)紙片瑪利歐:摺紙國王(中),="1","500","1090","1060","0","0","0","1090",,"4","0","90","0","0","0","1","1","1","1",,="000024",,,,="11","0","500",,"0","0","0","0","0","1","0","0","0","0",,,,,,,"0","0","0","0","0","0","0",,,,"0",112.05.11,"0","0","0",,"1","2811/1/1","2811/1/1","0","0",,"0","0",,"0",,,"0",,,"1","0",,,"0",,,,,,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0",,112.05.11,"0",,,,,,,,,"0"
="000025",(A)Letsgo寶可夢皮卡丘(中),,"1171.8912644423","1390","1340","0","0","0","1390",,"4","0","90","0","0","0","1","1","1","1",,="000025",,,,="03","0","1171.8912644423",,"0","0","0","0","0","1","0","0","0","0",,,,,,,"0","0","0","0","0","0","0",,,,"0",112.05.11,"0","0","0",,"1","2811/1/1","2811/1/1","0","0",,"0","0",,"0",,,"0",,,"1","0",,,"0",,,,,,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0",,112.05.11,"0",,,,,,,,,"5"
="000026",(B)泡泡龍4(更中),,"869.781315111145","1190","1160","0","0","0","1190",,"1","0","90","0","0","0","1","1","1","1",,="000026",,,,="25","0","869.781315111145",,"0","0","0","0","0","1","0","0","0","0",,,,,,,"0","0","0","0","0","0","0",,,,"0",112.05.11,"0","0","0",,"1","2811/1/1","2811/1/1","0","0",,"0","0",,"0",,,"0",,,"1","0",,,"0",,,,,,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0",,112.05.11,"0",,,,,,,,,"6"
="000027",(A)1-2Switch一代(日英),,"200","1390","1340","0","0","0","1390",,"0","0","90","0","0","0","1","1","1","1",,="000027",,,,="15","0","200",,"0","0","0","0","0","1","0","0","0","0",,,,,,,"0","0","0","0","0","0","0",,,,"0",112.05.11,"0","0","0",,"1","2811/1/1","2811/1/1","0","0",,"0","0",,"0",,,"0",,,"1","0",,,"0",,,,,,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0",,112.05.11,"0",,,,,,,,,"1"
="000028",(B)七龍珠Z(中),,"619.520000000043","990","960","0","0","0","990",,"4","0","90","0","0","0","1","1","1","1",,="000028",,,,="25","0","619.520000000043",,"0","0","0","0","0","1","0","0","0","0",,,,,,,"0","0","0","0","0","0","0",,,,"0",112.05.11,"0","0","0",,"1","2811/1/1","2811/1/1","0","0",,"0","0",,"0",,,"0",,,"1","0",,,"0",,,,,,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0",,112.05.11,"0",,,,,,,,,"5"
="000031",(B)快打旋風30週年紀念(中),,"640.0108816763","990","960","0","0","0","990",,"4","0","90","0","0","0","1","1","1","1",,="000031",,,,="25","0","640.0108816763",,"0","0","0","0","0","1","0","0","0","0",,,,,,,"0","0","0","0","0","0","0",,,,"0",112.05.11,"0","0","0",,"1","2811/1/1","2811/1/1","0","0",,"0","0",,"0",,,"0",,,"1","0",,,"0",,,,,,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0",,112.05.11,"0",,,,,,,,,"4"
="000033",(E)極速快感:熱力追緝(中),,"769.93","990","960","0","0","0","990",,"6","0","90","0","0","0","1","1","1","1",,="000033",,,,="25","0","769.93",,"0","0","0","0","0","1","0","0","0","0",,,,,,,"0","0","0","0","0","0","0",,,,"0",112.05.11,"0","0","0",,"1","2811/1/1","2811/1/1","0","0",,"0","0",,"0",,,"0",,,"1","0",,,"0",,,,,,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0",,112.05.11,"0",,,,,,,,,"10"
="000034",(D)萊莎的鍊金工坊2(中),,"1114.16666666667","1390","1340","0","0","0","1390",,"0","0","90","0","0","0","1","1","1","1",,="000034",,,,="11","0","1114.16666666667",,"0","0","0","0","0","1","0","0","0","0",,,,,,,"0","0","0","0","0","0","0",,,,"0",112.05.11,"0","0","0",,"1","2811/1/1","2811/1/1","0","0",,"0","0",,"0",,,"0",,,"1","0",,,"0",,,,,,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0",,112.05.11,"0",,,,,,,,,"3"
="000036",(D)風花雪月(中)#戰棋,,"1131.7684835379","1550","1500","0","0","0","1550",,"4","0","90","0","0","0","1","1","1","1",,="000036",,,,="03","0","1131.7684835379",,"0","0","0","0","0","1","0","0","0","0",,,,,,,"0","0","0","0","0","0","0",,,,"0",112.05.11,"0","0","0",,"1","1900/1/1","1900/1/1","0","0",,"0","0",,"0",,,"0",,,"1","0",,,"0",,,,,,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0",,112.05.11,"0",,,,,,,,,"0"
="000037",(C)尊巴Zumba(中) 1-4人拉丁舞,,"1060","790","740","0","0","0","790",,"4","0","90","0","0","0","1","1","1","1",,="000037",,,,="05","0","1060",,"0","0","0","0","0","1","0","0","0","0",,,,,,,"0","0","0","0","0","0","0",,,,"0",112.05.11,"0","0","0",,"1","2811/1/1","2811/1/1","0","0",,"0","0",,"0",,,"0",,,"1","0",,,"0",,,,,,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0",,112.05.11,"0",,,,,,,,,"0"
="000039",(C)舞力全開2021(中),,"410.3748524203","890","860","0","0","0","890",,"0","0","90","0","0","0","1","1","1","1",,="000039",,,,="25","0","410.3748524203",,"0","0","0","0","0","1","0","0","0","0",,,,,,,"0","0","0","0","0","0","0",,,,"0",112.05.11,"0","0","0",,"1","2811/1/1","2811/1/1","0","0",,"0","0",,"0",,,"0",,,"1","0",,,"0",,,,,,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0",,112.05.11,"0",,,,,,,,,"0"
="000040",(C)健身拳擊2(中),,"748.7922","990","960","0","0","0","990",,"1","0","90","0","0","0","1","1","1","1",,="000040",,,,="25","0","748.7922",,"0","0","0","0","0","1","0","0","0","0",,,,,,,"0","0","0","0","0","0","0",,,,"0",112.05.11,"0","0","0",,"1","2811/1/1","2811/1/1","0","0",,"0","0",,"0",,,"0",,,"1","0",,,"0",,,,,,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0",,112.05.11,"0",,,,,,,,,"4"
="000041",(A)瑪利歐3D合輯(日文),,"670","990","940","0","0","0","990",,"0","0","90","0","0","0","1","1","1","1",,="000041",,,,,"0","670",,"0","0","0","0","0","1","0","0","0","0",,,,,,,"0","0","0","0","0","0","0",,,,"0",112.05.11,"0","0","0",,"1","2811/1/1","2811/1/1","0","0",,"0","0",,"0",,,"0",,,"1","0",,,"0",,,,,,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0",,112.05.11,"0",,,,,,,,,"0"
="000042",(A)瑪利歐奧德賽(中) 選單改中文,,"1055.14401611222","1390","1340","0","0","0","1390",,"25","0","90","0.9","0","0","1","1","1","1",,="000042",,,,="15","0","1055.14401611222",,"0","0","0","0","0","1","0","0","0","0",,,,,,,"0","0","0","0","0","0","0",,,,"0",112.05.11,"0","0","0",,"1","2811/1/1","2811/1/1","0","0",,"0","0",,"0",,,"0",,,"1","0",,,"0",,,,,,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0",,112.05.11,"0",,,,,,,,,"18"
="000044",(A)瑪利歐賽車(中),,"1070.1112071639","1390","1340","0","0","0","1390",,"30","1","0","0","15","0","1","1","1","1",,="000044",="87",,,="25","0","1070.1112071639",,"0","0","0","0","0","1","0","0","0","0",,,,,,,"0","0","0","0","0","0","0",,,,"0",112.05.11,"0","0","0",,"1","2811/1/1","2811/1/1","0","0",,"0","0",,"0",,,"0",,,"1","0",,,"0",,,,,,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0",,112.05.11,"0",,,,,,,,,"11"
="000046",(D)天穗之稻姬(中),,"637.499999999998","990","960","0","0","0","990",,"0","0","90","0","0","0","1","1","1","1",,="000046",,,,="25","0","637.499999999998",,"0","0","0","0","0","1","0","0","0","0",,,,,,,"0","0","0","0","0","0","0",,,,"0",112.05.11,"0","0","0",,"1","2811/1/1","2811/1/1","0","0",,"0","0",,"0",,,"0",,,"1","0",,,"0",,,,,,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0",,112.05.11,"0",,,,,,,,,"1"
="000048",(B)太鼓達人合奏咚咚咚(中),,"890.244897959178","1090","1060","0","0","0","1090",,"0","0","90","0","0","0","1","1","1","1",,="000048",,,,="25","0","890.244897959178",,"0","0","0","0","0","1","0","0","0","0",,,,,,,"0","0","0","0","0","0","0",,,,"0",112.05.11,"0","0","0",,"1","2811/1/1","2811/1/1","0","0",,"0","0",,"0",,,"0",,,"1","0",,,"0",,,,,,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0",,112.05.11,"0",,,,,,,,,"0"
="000049",(B)炸彈超人R(中),,"556","790","740","0","0","0","790",,"0","0","90","0","0","0","1","1","1","1",,="000049",,,,="20","0","556",,"0","0","0","0","0","1","0","0","0","0",,,,,,,"0","0","0","0","0","0","0",,,,"0",112.05.11,"0","0","0",,"1","2811/1/1","2811/1/1","0","0",,"0","0",,"0",,,"0",,,"1","0",,,"0",,,,,,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0",,112.05.11,"0",,,,,,,,,"0"
="000050",(B)NS我的世界(中) 需完整JC,,"640.2192635638","990","960","0","0","0","990",,"25","0","90","0","0","0","1","1","1","1",,="000050",,,,="15","0","640.2192635638",,"0","0","0","0","0","1","0","0","0","0",,,,,,,"0","0","0","0","0","0","0",,,,"0",112.05.11,"0","0","0",,"1","2811/1/1","2811/1/1","0","0",,"0","0",,"0",,,"0",,,"1","0",,,"0",,,,,,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0",,112.05.11,"0",,,,,,,,,"9"
="000051",(B)胡鬧廚房+DLC(1英2中)#全都好吃,,"661.964710935","1090","1060","0","0","0","1090",,"25","0","90","0","0","0","1","1","1","1",,="000051",,,,="07","0","661.964710935",,"0","0","0","0","0","1","0","0","0","0",,,,,,,"0","0","0","0","0","0","0",,,,"0",112.05.11,"0","0","0",,"1","2811/1/1","2811/1/1","0","0",,"0","0",,"0",,,"0",,,"1","0",,,"0",,,,,,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0",,112.05.11,"0",,,,,,,,,"9"
